ITFGSM Hash Distance, MT-ITFGSM Hash Distance, L2 Distance ITFGSM, L2 Distance MT-ITFGSM,SSIM ITFGSM,SSIM MT-ITFGSM
0.000000000000000000e+00,0.000000000000000000e+00,2.910000085830688477e+00,2.740000009536743164e+00,1.000000000000000000e+00,9.749667048454284668e-01
2.000000000000000000e+00,2.000000000000000000e+00,2.839999914169311523e+00,2.660000085830688477e+00,1.000000000000000000e+00,9.861714839935302734e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.710000038146972656e+00,2.670000076293945312e+00,1.000000000000000000e+00,9.775175452232360840e-01
2.000000000000000000e+00,2.000000000000000000e+00,2.740000009536743164e+00,2.569999933242797852e+00,1.000000000000000000e+00,9.796336293220520020e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.809999942779541016e+00,2.609999895095825195e+00,1.000000000000000000e+00,9.805606007575988770e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.700000047683715820e+00,2.609999895095825195e+00,1.000000000000000000e+00,9.766538739204406738e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.809999942779541016e+00,2.859999895095825195e+00,1.000000000000000000e+00,9.893986582756042480e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.900000095367431641e+00,2.859999895095825195e+00,1.000000000000000000e+00,9.762501716613769531e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.930000066757202148e+00,2.829999923706054688e+00,1.000000000000000000e+00,9.726803898811340332e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.809999942779541016e+00,2.740000009536743164e+00,1.000000000000000000e+00,9.708320498466491699e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.980000019073486328e+00,2.640000104904174805e+00,1.000000000000000000e+00,9.766228795051574707e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.809999942779541016e+00,2.009999990463256836e+00,1.000000000000000000e+00,9.767466187477111816e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.880000114440917969e+00,2.769999980926513672e+00,1.000000000000000000e+00,9.783661961555480957e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.829999923706054688e+00,2.740000009536743164e+00,1.000000000000000000e+00,9.810201525688171387e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.890000104904174805e+00,2.759999990463256836e+00,1.000000000000000000e+00,9.791819453239440918e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.799999952316284180e+00,2.690000057220458984e+00,1.000000000000000000e+00,9.800290465354919434e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.730000019073486328e+00,2.529999971389770508e+00,1.000000000000000000e+00,9.854617118835449219e-01
0.000000000000000000e+00,2.000000000000000000e+00,2.910000085830688477e+00,2.809999942779541016e+00,1.000000000000000000e+00,9.818697571754455566e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.819999933242797852e+00,2.849999904632568359e+00,1.000000000000000000e+00,9.838042855262756348e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.680000066757202148e+00,2.519999980926513672e+00,1.000000000000000000e+00,9.859196543693542480e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.789999961853027344e+00,2.299999952316284180e+00,1.000000000000000000e+00,9.796531796455383301e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.890000104904174805e+00,2.359999895095825195e+00,1.000000000000000000e+00,9.917299747467041016e-01
2.000000000000000000e+00,2.000000000000000000e+00,2.890000104904174805e+00,2.740000009536743164e+00,1.000000000000000000e+00,9.783294796943664551e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,9.811547398567199707e-01
2.000000000000000000e+00,2.000000000000000000e+00,2.869999885559082031e+00,2.740000009536743164e+00,1.000000000000000000e+00,9.828610420227050781e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.890000104904174805e+00,2.700000047683715820e+00,1.000000000000000000e+00,9.835340976715087891e-01
0.000000000000000000e+00,2.000000000000000000e+00,2.849999904632568359e+00,2.859999895095825195e+00,1.000000000000000000e+00,9.772838950157165527e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.789999961853027344e+00,2.569999933242797852e+00,1.000000000000000000e+00,9.650175571441650391e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.750000000000000000e+00,2.549999952316284180e+00,1.000000000000000000e+00,9.786704182624816895e-01
0.000000000000000000e+00,2.000000000000000000e+00,2.930000066757202148e+00,2.500000000000000000e+00,1.000000000000000000e+00,9.775086045265197754e-01
0.000000000000000000e+00,2.000000000000000000e+00,2.849999904632568359e+00,2.690000057220458984e+00,1.000000000000000000e+00,9.822633862495422363e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.019999980926513672e+00,2.730000019073486328e+00,1.000000000000000000e+00,9.701026082038879395e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.839999914169311523e+00,2.789999961853027344e+00,1.000000000000000000e+00,9.840777516365051270e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.809999942779541016e+00,2.529999971389770508e+00,1.000000000000000000e+00,9.827835559844970703e-01
0.000000000000000000e+00,2.000000000000000000e+00,2.779999971389770508e+00,2.299999952316284180e+00,1.000000000000000000e+00,9.776166081428527832e-01
2.000000000000000000e+00,2.000000000000000000e+00,2.789999961853027344e+00,2.579999923706054688e+00,1.000000000000000000e+00,9.848051071166992188e-01
2.000000000000000000e+00,2.000000000000000000e+00,2.869999885559082031e+00,2.700000047683715820e+00,1.000000000000000000e+00,9.882767796516418457e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.720000028610229492e+00,2.710000038146972656e+00,1.000000000000000000e+00,9.734840989112854004e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.880000114440917969e+00,2.809999942779541016e+00,1.000000000000000000e+00,9.845665097236633301e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.069999933242797852e+00,2.940000057220458984e+00,1.000000000000000000e+00,9.788476824760437012e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.859999895095825195e+00,2.730000019073486328e+00,1.000000000000000000e+00,9.845016598701477051e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.630000114440917969e+00,2.369999885559082031e+00,1.000000000000000000e+00,9.804534316062927246e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.710000038146972656e+00,2.680000066757202148e+00,1.000000000000000000e+00,9.780963063240051270e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.700000047683715820e+00,2.670000076293945312e+00,1.000000000000000000e+00,9.704846739768981934e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.650000095367431641e+00,2.549999952316284180e+00,1.000000000000000000e+00,9.721236228942871094e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.730000019073486328e+00,2.700000047683715820e+00,1.000000000000000000e+00,9.736509919166564941e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.650000095367431641e+00,2.660000085830688477e+00,1.000000000000000000e+00,9.696376323699951172e-01
0.000000000000000000e+00,2.000000000000000000e+00,2.700000047683715820e+00,2.710000038146972656e+00,1.000000000000000000e+00,9.614831805229187012e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.730000019073486328e+00,2.710000038146972656e+00,1.000000000000000000e+00,9.711163043975830078e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.740000009536743164e+00,2.759999990463256836e+00,1.000000000000000000e+00,9.786534905433654785e-01
