ITFGSM Hash Distance, MT-IFGSM Hash Distance, L2 Distance IFGSM, L2 Distance MT-IFGSM, SSIM ITFGSM, SSIM MT-IFGSM
0.000000000000000000e+00,0.000000000000000000e+00,2.200000047683715820e+00,1.480000019073486328e+00,9.848005175590515137e-01,9.924635887145996094e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.079999923706054688e+00,1.450000047683715820e+00,9.886185526847839355e-01,9.942068457603454590e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.109999895095825195e+00,1.340000033378601074e+00,9.875965118408203125e-01,9.943628311157226562e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.289999961853027344e+00,1.389999985694885254e+00,9.874591827392578125e-01,9.948527216911315918e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.190000057220458984e+00,1.340000033378601074e+00,9.883171916007995605e-01,9.951044917106628418e-01
2.000000000000000000e+00,2.000000000000000000e+00,1.820000052452087402e+00,1.299999952316284180e+00,9.867711663246154785e-01,9.925295710563659668e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.039999961853027344e+00,1.350000023841857910e+00,9.875645637512207031e-01,9.932683110237121582e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.950000047683715820e+00,1.129999995231628418e+00,9.856808781623840332e-01,9.944386482238769531e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.140000104904174805e+00,1.230000019073486328e+00,9.854846596717834473e-01,9.949169754981994629e-01
2.000000000000000000e+00,0.000000000000000000e+00,1.899999976158142090e+00,1.350000023841857910e+00,9.868268370628356934e-01,9.925221800804138184e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.049999952316284180e+00,1.330000042915344238e+00,9.885113835334777832e-01,9.947654604911804199e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.049999952316284180e+00,1.240000009536743164e+00,9.878697395324707031e-01,9.950647950172424316e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.400000095367431641e+00,1.059999942779541016e+00,9.854723811149597168e-01,9.967599511146545410e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.250000000000000000e+00,1.190000057220458984e+00,9.827225208282470703e-01,9.941917061805725098e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.150000095367431641e+00,1.320000052452087402e+00,9.883079528808593750e-01,9.951627254486083984e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.079999923706054688e+00,1.289999961853027344e+00,9.874547123908996582e-01,9.946088790893554688e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.069999933242797852e+00,1.389999985694885254e+00,9.852897524833679199e-01,9.929375648498535156e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.029999971389770508e+00,1.179999947547912598e+00,9.884481430053710938e-01,9.953878521919250488e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.170000076293945312e+00,1.299999952316284180e+00,9.850259423255920410e-01,9.939208626747131348e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.130000114440917969e+00,1.409999966621398926e+00,9.871520400047302246e-01,9.937621951103210449e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.029999971389770508e+00,1.139999985694885254e+00,9.795452952384948730e-01,9.924077987670898438e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.950000047683715820e+00,1.110000014305114746e+00,9.858595728874206543e-01,9.946048259735107422e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.109999895095825195e+00,1.309999942779541016e+00,9.867736697196960449e-01,9.942972064018249512e-01
0.000000000000000000e+00,2.000000000000000000e+00,2.019999980926513672e+00,1.179999947547912598e+00,9.861561655998229980e-01,9.946371912956237793e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.190000057220458984e+00,1.340000033378601074e+00,9.864029884338378906e-01,9.943287968635559082e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.059999942779541016e+00,1.820000052452087402e+00,9.873479008674621582e-01,9.898359775543212891e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.420000076293945312e+00,1.159999966621398926e+00,9.853999614715576172e-01,9.960954785346984863e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.059999942779541016e+00,1.350000023841857910e+00,9.880590438842773438e-01,9.938934445381164551e-01
2.000000000000000000e+00,2.000000000000000000e+00,2.069999933242797852e+00,1.809999942779541016e+00,9.876258969306945801e-01,9.906334877014160156e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.009999990463256836e+00,1.120000004768371582e+00,9.878568649291992188e-01,9.953691959381103516e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.109999895095825195e+00,1.179999947547912598e+00,9.851282238960266113e-01,9.945983290672302246e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.009999990463256836e+00,1.409999966621398926e+00,9.881194233894348145e-01,9.934694766998291016e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.130000114440917969e+00,1.730000019073486328e+00,9.867496490478515625e-01,9.910028576850891113e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.779999971389770508e+00,1.309999942779541016e+00,9.858638644218444824e-01,9.915835857391357422e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.820000052452087402e+00,1.389999985694885254e+00,9.880257248878479004e-01,9.924117922782897949e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.160000085830688477e+00,1.279999971389770508e+00,9.850403666496276855e-01,9.937031269073486328e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.130000114440917969e+00,1.440000057220458984e+00,9.885084629058837891e-01,9.944275021553039551e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.289999961853027344e+00,1.409999966621398926e+00,9.837710261344909668e-01,9.930996894836425781e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.059999942779541016e+00,1.269999980926513672e+00,9.875452518463134766e-01,9.946767687797546387e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.059999942779541016e+00,1.139999985694885254e+00,9.828133583068847656e-01,9.937887191772460938e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.840000033378601074e+00,1.269999980926513672e+00,9.862884879112243652e-01,9.928669333457946777e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.069999933242797852e+00,1.429999947547912598e+00,9.881737828254699707e-01,9.936358928680419922e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.230000019073486328e+00,1.279999971389770508e+00,9.888141751289367676e-01,9.961085915565490723e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.190000057220458984e+00,1.610000014305114746e+00,9.884259104728698730e-01,9.936469197273254395e-01
0.000000000000000000e+00,2.000000000000000000e+00,2.119999885559082031e+00,1.360000014305114746e+00,9.863604903221130371e-01,9.936098456382751465e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.329999923706054688e+00,1.190000057220458984e+00,9.869635701179504395e-01,9.962119460105895996e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.250000000000000000e+00,2.200000047683715820e+00,9.850595593452453613e-01,9.857473969459533691e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.160000085830688477e+00,1.789999961853027344e+00,9.877886176109313965e-01,9.914912581443786621e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.119999885559082031e+00,1.529999971389770508e+00,9.896262288093566895e-01,9.942427277565002441e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.029999971389770508e+00,1.399999976158142090e+00,9.895420670509338379e-01,9.949237704277038574e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.099999904632568359e+00,1.509999990463256836e+00,9.883716702461242676e-01,9.938066005706787109e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.759999990463256836e+00,1.350000023841857910e+00,9.870852828025817871e-01,9.916518330574035645e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.210000038146972656e+00,1.320000052452087402e+00,9.851655960083007812e-01,9.940684437751770020e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.329999923706054688e+00,1.259999990463256836e+00,9.838390350341796875e-01,9.948370456695556641e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.029999971389770508e+00,1.409999966621398926e+00,9.864022731781005859e-01,9.925342202186584473e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.329999923706054688e+00,1.899999976158142090e+00,9.874766469001770020e-01,9.910507798194885254e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.089999914169311523e+00,1.230000019073486328e+00,9.890009760856628418e-01,9.955037236213684082e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.059999942779541016e+00,1.360000014305114746e+00,9.852731227874755859e-01,9.925730824470520020e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.820000052452087402e+00,1.230000019073486328e+00,9.872695803642272949e-01,9.931573867797851562e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.190000057220458984e+00,1.080000042915344238e+00,9.864518046379089355e-01,9.961416721343994141e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.279999971389770508e+00,1.279999971389770508e+00,9.876815676689147949e-01,9.957178235054016113e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.039999961853027344e+00,1.500000000000000000e+00,9.855878949165344238e-01,9.916570186614990234e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.069999933242797852e+00,1.490000009536743164e+00,9.887421727180480957e-01,9.937091469764709473e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.130000114440917969e+00,1.220000028610229492e+00,9.831252098083496094e-01,9.940171241760253906e-01
