ITFGSM Hash Distance, MT-IFGSM Hash Distance, L2 Distance ITFGSM, L2 Distance MT-IFGSM, SSIM ITFGSM, SSIM MT-IFGSM
0.000000000000000000e+00,0.000000000000000000e+00,3.859999895095825195e+00,3.849999904632568359e+00,9.363515377044677734e-01,9.447649121284484863e-01
0.000000000000000000e+00,2.000000000000000000e+00,3.859999895095825195e+00,3.849999904632568359e+00,9.486308693885803223e-01,9.470223784446716309e-01
0.000000000000000000e+00,2.000000000000000000e+00,3.849999904632568359e+00,3.829999923706054688e+00,9.317275881767272949e-01,9.392921924591064453e-01
0.000000000000000000e+00,2.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.572403430938720703e-01,9.580669403076171875e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.859999895095825195e+00,3.859999895095825195e+00,9.456780552864074707e-01,9.462428689002990723e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.829999923706054688e+00,9.665405154228210449e-01,9.660779833793640137e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.809999942779541016e+00,3.809999942779541016e+00,9.693478941917419434e-01,9.690606594085693359e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.839999914169311523e+00,9.564578533172607422e-01,9.558252692222595215e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.789999961853027344e+00,3.799999952316284180e+00,9.635271430015563965e-01,9.631301760673522949e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.829999923706054688e+00,3.829999923706054688e+00,9.660339355468750000e-01,9.659605026245117188e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.650368690490722656e-01,9.645524024963378906e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.819999933242797852e+00,9.586904644966125488e-01,9.494692683219909668e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.730000019073486328e+00,3.680000066757202148e+00,9.341432452201843262e-01,9.397645592689514160e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.809999942779541016e+00,3.819999933242797852e+00,9.594087600708007812e-01,9.590798020362854004e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.609040617942810059e-01,9.601896405220031738e-01
2.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.859999895095825195e+00,9.362872242927551270e-01,9.360663890838623047e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.839999914169311523e+00,9.668982028961181641e-01,9.669373035430908203e-01
0.000000000000000000e+00,2.000000000000000000e+00,3.859999895095825195e+00,3.849999904632568359e+00,9.551618695259094238e-01,9.542507529258728027e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.839999914169311523e+00,9.641321301460266113e-01,9.650294780731201172e-01
0.000000000000000000e+00,2.000000000000000000e+00,3.829999923706054688e+00,3.829999923706054688e+00,9.592459201812744141e-01,9.585528969764709473e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.819999933242797852e+00,3.819999933242797852e+00,9.631058573722839355e-01,9.550229907035827637e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.849999904632568359e+00,9.589058756828308105e-01,9.544478058815002441e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.680000066757202148e+00,3.730000019073486328e+00,9.529324173927307129e-01,9.429165720939636230e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.839999914169311523e+00,9.632164835929870605e-01,9.623343348503112793e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.699035286903381348e-01,9.696695208549499512e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.740000009536743164e+00,3.750000000000000000e+00,9.638997912406921387e-01,9.628103375434875488e-01
